Transaction_ID,Payment,Order_Date,Payment_Method
POS00001,1863,07-05-2024,Cash
POS00002,2865,28-10-2024,Alipay
POS00003,1463,01-05-2024,Credit Card
POS00004,2817,09-10-2024,Credit Card
POS00005,2977,25-05-2024,Credit Card
POS00006,2718,09-12-2024,Alipay
POS00007,1061,20-01-2025,Cash
POS00008,1666,21-06-2024,WeChat Pay
POS00009,516,10-03-2025,Alipay
POS00010,1849,17-05-2024,Cash
POS00011,437,19-09-2024,Alipay
POS00012,174,13-10-2025,WeChat Pay
POS00013,2046,28-06-2024,Credit Card
POS00014,519,20-06-2024,Credit Card
POS00015,187,02-05-2024,Cash
POS00016,716,16-11-2024,Credit Card
POS00017,124,28-10-2025,Alipay
POS00018,2769,06-02-2025,Credit Card
POS00019,2439,23-01-2024,Alipay
POS00020,1336,26-12-2024,Credit Card
POS00021,2223,29-10-2025,Alipay
POS00022,1765,09-07-2024,Alipay
POS00023,996,31-05-2024,Cash
POS00024,2691,16-07-2025,WeChat Pay
POS00025,149,24-07-2024,WeChat Pay
POS00026,940,25-08-2025,Credit Card
POS00027,1872,23-05-2025,Cash
POS00028,2484,01-06-2024,Alipay
POS00029,2657,08-06-2024,WeChat Pay
POS00030,2327,29-12-2024,Credit Card
POS00031,1445,22-09-2025,Credit Card
POS00032,217,25-08-2024,Cash
POS00033,1687,02-01-2024,Alipay
POS00034,2173,18-09-2025,Credit Card
POS00035,2635,05-05-2024,Credit Card
POS00036,2575,12-06-2024,WeChat Pay
POS00037,203,10-12-2025,Cash
POS00038,2460,20-01-2025,WeChat Pay
POS00039,1900,10-03-2025,WeChat Pay
POS00040,2752,20-08-2024,WeChat Pay
POS00041,328,11-08-2024,WeChat Pay
POS00042,2560,18-04-2025,WeChat Pay
POS00043,110,13-07-2024,Alipay
POS00044,636,22-03-2025,Alipay
POS00045,2691,30-10-2025,Credit Card
POS00046,952,12-01-2024,WeChat Pay
POS00047,464,08-11-2024,Cash
POS00048,160,12-03-2024,Cash
POS00049,2698,20-01-2025,WeChat Pay
POS00050,2116,06-06-2024,Cash
POS00051,1255,11-08-2024,Credit Card
POS00052,1129,16-05-2024,Credit Card
POS00053,766,15-10-2025,Credit Card
POS00054,1308,12-03-2025,Alipay
POS00055,2149,23-10-2025,WeChat Pay
POS00056,2054,21-04-2025,Alipay
POS00057,2135,18-07-2025,Cash
POS00058,288,29-03-2024,WeChat Pay
POS00059,2906,26-09-2024,WeChat Pay
POS00060,366,16-03-2025,Alipay
POS00061,1852,06-08-2025,Credit Card
POS00062,1049,07-06-2024,Alipay
POS00063,1679,14-01-2025,Cash
POS00064,368,14-08-2025,Alipay
POS00065,617,12-05-2024,Alipay
POS00066,1406,07-06-2025,Alipay
POS00067,265,02-12-2024,Alipay
POS00068,909,13-07-2025,Alipay
POS00069,388,22-05-2024,Alipay
POS00070,2503,15-07-2025,Alipay
POS00071,1527,22-01-2024,Cash
POS00072,1124,25-06-2025,Credit Card
POS00073,1296,08-09-2025,WeChat Pay
POS00074,1137,02-07-2024,Cash
POS00075,2122,09-07-2025,Cash
POS00076,1643,19-10-2024,Cash
POS00077,1080,14-12-2025,Cash
POS00078,475,25-08-2025,Cash
POS00079,2308,15-06-2025,Cash
POS00080,1463,21-09-2024,WeChat Pay
POS00081,2318,11-12-2024,Alipay
POS00082,776,22-05-2024,Cash
POS00083,1821,20-04-2024,WeChat Pay
POS00084,87,10-11-2025,WeChat Pay
POS00085,735,24-08-2024,Credit Card
POS00086,249,29-01-2025,Alipay
POS00087,2696,21-02-2024,Credit Card
POS00088,1704,05-08-2025,WeChat Pay
POS00089,2624,06-07-2024,Cash
POS00090,2604,30-01-2024,Cash
POS00091,2938,05-04-2024,WeChat Pay
POS00092,2121,25-11-2024,Credit Card
POS00093,1704,11-11-2024,Alipay
POS00094,814,04-05-2025,Cash
POS00095,677,27-08-2025,Credit Card
POS00096,2125,11-07-2025,Alipay
POS00097,1839,14-10-2024,Credit Card
POS00098,2913,13-11-2024,Alipay
POS00099,989,27-09-2025,Alipay
POS00100,2619,05-03-2025,WeChat Pay
POS00101,1384,01-10-2025,WeChat Pay
POS00102,158,19-11-2025,Cash
POS00103,455,27-07-2025,Cash
POS00104,121,05-08-2025,Cash
POS00105,980,22-03-2024,Credit Card
POS00106,916,18-07-2024,WeChat Pay
POS00107,1103,08-05-2024,Cash
POS00108,878,30-12-2024,Cash
