OrderID,Customer_ID,Payment,Quantity,Category,Created_At
TB00001,C6941,645,4,Home,2025/04/03
TB00002,C8409,1111,4,Clothing,2025/08/09
TB00003,C2749,1916,5,Clothing,2025/01/19
TB00004,C1021,343,5,Toys,2025/11/02
TB00005,C3547,582,4,Books,2024/12/12
TB00006,C3279,1073,3,Food,2024/03/04
TB00007,C5243,949,2,Electronics,2025/05/25
TB00008,C9446,1922,2,Books,2025/04/21
TB00009,C6349,1609,3,Home,2025/07/30
TB00010,C6159,1026,2,Clothing,2024/02/02
TB00011,C4314,1432,2,Home,2025/08/12
TB00012,C4719,961,5,Books,2025/05/24
TB00013,C3574,889,4,Books,2024/09/07
TB00014,C9772,493,3,Food,2024/03/17
TB00015,C6926,1026,5,Toys,2025/03/10
TB00016,C8095,1790,2,Food,2025/06/20
TB00017,C2088,1751,2,Toys,2025/07/16
TB00018,C6821,971,4,Home,2025/08/24
TB00019,C2618,1133,3,Food,2024/12/25
TB00020,C5350,1382,2,Food,2024/05/19
TB00021,C9401,1463,4,Food,2025/07/16
TB00022,C4363,1717,1,Electronics,2024/01/12
TB00023,C8513,1273,2,Clothing,2025/03/03
TB00024,C7155,1745,5,Food,2024/11/22
TB00025,C6352,1319,3,Food,2025/04/28
TB00026,C9504,1494,2,Books,2025/08/25
TB00027,C3255,416,3,Clothing,2024/09/25
TB00028,C3895,1156,3,Home,2025/10/02
TB00029,C6027,1478,3,Home,2024/11/14
TB00030,C7920,1715,2,Books,2024/03/14
TB00031,C6014,1669,4,Toys,2024/12/21
TB00032,C5921,1865,1,Electronics,2025/01/04
TB00033,C6680,1406,4,Books,2024/11/16
TB00034,C2707,283,2,Food,2024/05/30
TB00035,C6497,1941,4,Clothing,2025/06/07
TB00036,C5381,203,3,Books,2025/04/15
TB00037,C1583,478,5,Home,2024/10/25
TB00038,C2212,1319,2,Food,2025/07/20
TB00039,C8156,449,3,Clothing,2024/09/07
TB00040,C4266,1365,2,Electronics,2024/09/09
TB00041,C4569,1241,3,Clothing,2025/02/26
TB00042,C3469,293,3,Electronics,2024/12/05
TB00043,C7647,379,5,Books,2025/05/08
TB00044,C8659,287,5,Food,2025/12/28
TB00045,C4669,627,3,Home,2025/08/26
TB00046,C4045,1504,1,Home,2024/10/29
TB00047,C5748,618,4,Home,2025/04/12
TB00048,C5436,1695,3,Books,2024/06/29
TB00049,C4816,1687,3,Toys,2024/01/24
TB00050,C3781,1992,4,Clothing,2025/06/29
TB00051,C5181,1706,2,Home,2024/07/12
TB00052,C2551,221,3,Home,2025/12/01
TB00053,C1188,1582,4,Clothing,2024/08/21
TB00054,C3608,1762,5,Books,2025/04/16
TB00055,C1132,1029,2,Electronics,2025/07/17
TB00056,C2103,1093,1,Toys,2024/07/14
TB00057,C8697,1813,3,Toys,2025/08/16
TB00058,C3262,740,4,Toys,2025/06/29
TB00059,C6175,308,2,Home,2025/02/09
TB00060,C1633,1248,5,Home,2025/06/24
TB00061,C3367,966,5,Books,2024/06/30
TB00062,C1834,625,3,Books,2025/02/17
TB00063,C8066,1837,3,Home,2024/05/17
TB00064,C4249,1086,4,Books,2024/11/26
TB00065,C3380,207,3,Food,2025/08/10
TB00066,C7354,551,1,Electronics,2025/01/19
TB00067,C5481,306,3,Books,2024/11/16
TB00068,C8389,1326,5,Electronics,2024/02/27
TB00069,C3528,993,1,Electronics,2024/06/13
TB00070,C5046,1242,2,Home,2025/03/11
TB00071,C5535,1883,2,Food,2024/10/07
TB00072,C1407,1261,4,Clothing,2025/03/15
TB00073,C8334,1490,5,Books,2025/11/23
TB00074,C7824,751,5,Books,2024/12/27
TB00075,C9255,1658,1,Clothing,2024/04/11
TB00076,C5314,769,4,Books,2024/01/26
TB00077,C6441,1220,5,Electronics,2024/10/12
TB00078,C4660,1590,2,Food,2025/09/28
TB00079,C6551,113,3,Books,2024/05/22
TB00080,C5838,772,4,Books,2024/02/25
TB00081,C8727,979,1,Home,2025/10/20
TB00082,C7783,827,3,Clothing,2025/04/22
TB00083,C3672,322,4,Food,2025/06/07
TB00084,C6563,1554,5,Clothing,2024/11/03
TB00085,C1685,530,3,Food,2025/01/30
TB00086,C6022,73,4,Food,2025/06/15
TB00087,C8645,566,3,Food,2025/10/18
TB00088,C3527,814,2,Toys,2025/10/11
TB00089,C3585,1494,4,Home,2025/08/14
TB00090,C5292,1885,5,Food,2025/12/07
TB00091,C9408,1781,3,Food,2025/08/12
TB00092,C9442,1491,4,Home,2024/01/12
TB00093,C4910,1312,2,Electronics,2025/01/13
TB00094,C5070,352,2,Home,2025/10/14
TB00095,C2634,405,2,Clothing,2024/07/07
TB00096,C6356,1796,3,Home,2024/09/12
TB00097,C9075,349,4,Electronics,2025/11/20
TB00098,C1885,204,4,Electronics,2025/08/26
TB00099,C3194,1880,4,Home,2024/01/28
TB00100,C6003,1424,2,Books,2025/07/07
TB00101,C8679,227,4,Home,2025/08/19
TB00102,C9027,1176,3,Books,2024/03/24
TB00103,C4961,1681,2,Food,2024/05/09
TB00104,C4394,642,2,Electronics,2024/07/11
TB00105,C4679,823,4,Books,2024/08/13
TB00106,C3262,1272,1,Clothing,2024/08/24
TB00107,C5007,290,4,Home,2024/11/03
TB00108,C8935,399,3,Toys,2024/05/31
TB00109,C9451,1366,2,Toys,2025/04/19
TB00110,C1245,1377,5,Food,2025/04/18
TB00111,C4896,1871,4,Books,2024/12/18
TB00112,C1073,1471,1,Electronics,2024/04/20
TB00113,C4942,1590,3,Home,2024/09/25
TB00114,C9872,608,3,Books,2025/03/05
TB00115,C9358,517,2,Home,2024/10/01
TB00116,C9906,1894,3,Clothing,2025/07/09
